Time (UTC),Range (km),Azimuth (deg),Elevation (deg),d Range/dt (km/s),d Azimuth/dt (deg/s),d Elevation/dt (deg/s),One Way Light Time (s)
2025-03-09T18:54:00,545372.738064877,132.53420802019295,23.314133211451818,0.4686342288091172,0.0035865475153419135,0.002286299061725333,1.8191676391834948
2025-03-09T18:55:00,545400.8880618825,132.74969477987838,23.451074393002955,0.469699711412348,0.0035963507637739654,0.00227839783471308,1.8192615374663044
2025-03-09T18:56:00,545429.1021165585,132.9657708622734,23.58753985097556,0.4707695203114284,0.0036061915342647578,0.002270441577982816,1.8193556494225032
2025-03-09T18:57:00,545457.3804908916,133.1824385053339,23.723526277101403,0.47184363622392844,0.003616069369729033,0.002262430054144989,1.8194499759259843
2025-03-09T18:58:00,545485.7234396851,133.3996999186796,23.859030347619452,0.4729220397957974,0.003625983802177059,0.0022543630271847606,1.8195445178266791
2025-03-09T18:59:00,545514.1312210814,133.61755728396975,23.994048725619013,0.47400471157814117,0.0036359343526979554,0.002246240262495299,1.8196392759856603
2025-03-09T19:00:00,545542.6040891253,133.83601275348704,24.128578059510634,0.47509163204446736,0.0036459205312397037,0.0022380615269809675,1.8197342512503274
2025-03-09T19:01:00,545571.142301125,134.05506845022802,24.262614984729556,0.4761827815742219,0.003655941836561914,0.0022298265891031073,1.8198294444789702
2025-03-09T19:02:00,545599.746107219,134.27472646617815,24.396156121585502,0.47727814047657624,0.0036659977559825373,0.002221535218997427,1.81992485650596
2025-03-09T19:03:00,545628.4157608654,134.49498886266755,24.529198077612207,0.4783776889673792,0.003676087765367273,0.002213187188511104,1.8200204881767417
2025-03-09T19:04:00,545657.1515128473,134.7158576690752,24.66173744638278,0.47948140718292187,0.003686211328929774,0.002204782271305335,1.8201163403278389
2025-03-09T19:05:00,545685.9536127379,134.9373348822837,24.793770807948114,0.48058927517699424,0.003696367899120278,0.002196320242929463,1.8202124137917368
2025-03-09T19:06:00,545714.8223089513,135.1594224659608,24.925294728950142,0.4817012729212067,0.003706556916497731,0.002187800880902833,1.8203087093970567
2025-03-09T19:07:00,545743.7578485401,135.38212234987049,25.056305762749616,0.48281738030514987,0.003716777809604434,0.0021792239647963584,1.8204052279678768
2025-03-09T19:08:00,545772.7604760682,135.60543642893762,25.186800449217834,0.4839375771405763,0.003727029994821852,0.0021705892763249374,1.8205019703199747
2025-03-09T19:09:00,545801.8304392744,135.8293665631902,25.31677531615276,0.4850618431482001,0.003737312876321107,0.0021618965994055174,1.8205989372797182
2025-03-09T19:10:00,545830.9679786199,136.05391457590972,25.44622687718871,0.4861901579810901,0.0037476258458157565,0.002153145720288094,1.8206961296491984
2025-03-09T19:11:00,545860.1733379979,136.2790822539638,25.575151634151823,0.48732250120242426,0.003757968282568035,0.0021443364275998966,1.8207935482419575
2025-03-09T19:12:00,545889.4467584542,136.50487134645326,25.70354607594881,0.4884588522985247,0.003768339553200781,0.0021354685124582795,1.8208911938620358
2025-03-09T19:13:00,545918.7884798177,136.73128356409276,25.831406679028785,0.48959919067624824,0.0037787390115999694,0.0021265417685550694,1.8209890673094176
2025-03-09T19:14:00,545948.1987407095,136.95832057843901,25.958729907538373,0.4907434956633985,0.0037891659988019215,0.002117555992247935,1.821087169380057
2025-03-09T19:15:00,545977.6777785282,137.185984021126,26.08551221349133,0.49189174650892475,0.0037996198428836463,0.002108510982652378,1.8211855008658298
2025-03-09T19:16:00,546007.2258293094,137.41427548308877,26.211750036935346,0.4930439223833609,0.0038100998588552035,0.0020994065417351076,1.8212840625540665
2025-03-09T19:17:00,546036.8431279912,137.64319651375274,26.337439806118347,0.4942000023794453,0.003820605348553986,0.0020902424744097467,1.8213828552284368
2025-03-09T19:18:00,546066.5299066247,137.87274862010332,26.462577937365356,0.4953599655153873,0.0038311356005246685,0.0020810185886384375,1.821481879662979
2025-03-09T19:19:00,546096.2864006328,138.10293326652643,26.587160836510066,0.49652379072264097,0.0038416898899947087,0.00207173469550219,1.8215811366429804
2025-03-09T19:20:00,546126.1128395527,138.33375187302542,26.711184897208096,0.4976914568655175,0.003852267478665525,0.002062390609339746,1.8216806269340933
2025-03-09T19:21:00,546156.009451653,138.56520581489937,26.83464650207946,0.49886294273184895,0.0038628676146758023,0.0020529861478265836,1.8217803512977406
2025-03-09T19:22:00,546185.9764685382,138.79729642242546,26.95754202383918,0.5000382270239774,0.0038734895325690886,0.0020435211320541926,1.8218803105064716
2025-03-09T19:23:00,546216.0141144145,139.03002497886774,27.079867823328097,0.501217288381361,0.0038841324530741773,0.0020339953866807606,1.8219805053081575
2025-03-09T19:24:00,546246.1226182891,139.26339272100267,27.201620252219726,0.5024001053556102,0.003894795583176113,0.0020244087399766126,1.8220809364666843
2025-03-09T19:25:00,546276.3022018422,139.49740083691708,27.32279565075325,0.5035866564362124,0.003905478115883143,0.0020147610239857837,1.8221816047214978
2025-03-09T19:26:00,546306.5530914321,139.73205046656574,27.44339035044882,0.5047769200255576,0.003916179230307445,0.002005052074571356,1.8222825108276473
2025-03-09T19:27:00,546336.8755061518,139.96734269951475,27.56340067185245,0.5059708744648415,0.0039268980914378025,0.0019952817315813986,1.8223836555159503
2025-03-09T19:28:00,546367.2696698669,140.2032785755121,27.682822927260943,0.5071684980090954,0.003937633850230327,0.001985449838894968,1.8224850395331387
2025-03-09T19:29:00,546397.7357989406,140.43985908224647,27.801653418498507,0.5083697688526128,0.003948385643389662,0.0019755562445893486,1.8225866636009254
